"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000001284","YIL022W","S. cerevisiae","TIM44","Translocase of the Inner Mitochondrial membrane"
"SGD:S000001295","YIL033C","S. cerevisiae","BCY1","Bypass of CYclic-AMP requirement"
"SGD:S000001296","YIL034C","S. cerevisiae","CAP2","CAPping"
"SGD:S000001297","YIL035C","S. cerevisiae","CKA1","Casein Kinase Alpha subunit"
"SGD:S000001312","YIL050W","S. cerevisiae","PCL7","Pho85 CycLin"
"SGD:S000001323","YIL061C","S. cerevisiae","SNP1",""
"SGD:S000001324","YIL062C","S. cerevisiae","ARC15","ARp2/3 Complex subunit"
"SGD:S000001330","YIL068C","S. cerevisiae","SEC6","SECretory"
"SGD:S000001331","YIL069C","S. cerevisiae","RPS24B","Ribosomal Protein of the Small subunit"
"SGD:S000001332","YIL070C","S. cerevisiae","MAM33","Mitochondrial Acidic Matrix protein"
"SGD:S000001333","YIL071C","S. cerevisiae","PCI8","Proteasome-COP9 signalosome (CSN)-eIF3"
"SGD:S000001336","YIL074C","S. cerevisiae","SER33","SERine requiring"
"SGD:S000001337","YIL075C","S. cerevisiae","RPN2","Regulatory Particle Non-ATPase"
"SGD:S000001338","YIL076W","S. cerevisiae","SEC28","SECretory"
"SGD:S000001346","YIL084C","S. cerevisiae","SDS3","Suppressor of Defective Silencing"
"SGD:S000001355","YIL093C","S. cerevisiae","RSM25","Ribosomal Small subunit of Mitochondria"
"SGD:S000001356","YIL094C","S. cerevisiae","LYS12","LYSine requiring"
"SGD:S000001359","YIL097W","S. cerevisiae","FYV10","Function required for Yeast Viability"
"SGD:S000001360","YIL098C","S. cerevisiae","FMC1","Formation of Mitochondrial Complexes"
"SGD:S000001365","YIL103W","S. cerevisiae","DPH1","DiPHthamide biosynthesis"
"SGD:S000001371","YIL109C","S. cerevisiae","SEC24","SECretory"
"SGD:S000001374","YIL112W","S. cerevisiae","HOS4","Hda One Similar"
"SGD:S000001377","YIL115C","S. cerevisiae","NUP159","NUclear Pore"
"SGD:S000001387","YIL125W","S. cerevisiae","KGD1","alpha-KetoGlutarate Dehydrogenase"
"SGD:S000001388","YIL126W","S. cerevisiae","STH1","SNF Two Homolog"
"SGD:S000001390","YIL128W","S. cerevisiae","MET18","METhionine requiring"
"SGD:S000001395","YIL133C","S. cerevisiae","RPL16A","Ribosomal Protein of the Large subunit"
"SGD:S000001404","YIL142W","S. cerevisiae","CCT2","Chaperonin Containing TCP-1"
"SGD:S000001405","YIL143C","S. cerevisiae","SSL2","Suppressor of Stem-Loop mutation"
"SGD:S000001406","YIL144W","S. cerevisiae","NDC80","Nuclear Division Cycle"
"SGD:S000001415","YIL153W","S. cerevisiae","RRD1","Resistant to Rapamycin Deletion"
"SGD:S000001423","YIL161W","S. cerevisiae","SMU2","Stalled Monosome Ubiquitination"
"SGD:S000001440","YIR001C","S. cerevisiae","SGN1","Slower Growth on Non-fermentable carbon sources"
"SGD:S000001442","YIR003W","S. cerevisiae","AIM21","Altered Inheritance rate of Mitochondria"
"SGD:S000001445","YIR006C","S. cerevisiae","PAN1","Poly(A)-binding protein-dependent poly(A) riboNuclease"
"SGD:S000001447","YIR008C","S. cerevisiae","PRI1","DNA PRImase"
"SGD:S000001448","YIR009W","S. cerevisiae","MSL1","MUD Synthetic Lethal"
"SGD:S000001449","YIR010W","S. cerevisiae","DSN1","Dosage Suppressor of NNF1"
"SGD:S000001464","YIR025W","S. cerevisiae","MND2","Meiotic Nuclear Divisions"
"SGD:S000001486","YKL003C","S. cerevisiae","MRP17","Mitochondrial Ribosomal Protein"
"SGD:S000001490","YKL007W","S. cerevisiae","CAP1","CAPping"
"SGD:S000001492","YKL009W","S. cerevisiae","MRT4","mRNA Turnover 4"
"SGD:S000001495","YKL012W","S. cerevisiae","PRP40","Pre-mRNA Processing"
"SGD:S000001496","YKL013C","S. cerevisiae","ARC19","ARp2/3 Complex subunit"
"SGD:S000001497","YKL014C","S. cerevisiae","URB1","Unhealthy Ribosome Biogenesis"
"SGD:S000001501","YKL018W","S. cerevisiae","SWD2","Set1c, WD40 repeat protein"
"SGD:S000001502","YKL019W","S. cerevisiae","RAM2","RAS protein and A-factor Maturation"
"SGD:S000001505","YKL022C","S. cerevisiae","CDC16","Cell Division Cycle"
"SGD:S000001506","YKL023W","S. cerevisiae","SKA1","SKi Associated factor"
"SGD:S000001508","YKL025C","S. cerevisiae","PAN3","Poly(A) Nuclease"
"SGD:S000001511","YKL028W","S. cerevisiae","TFA1","Transcription Factor A"
"SGD:S000001512","YKL029C","S. cerevisiae","MAE1","MAlic Enzyme"
"SGD:S000001528","YKL045W","S. cerevisiae","PRI2","DNA PRImase"
"SGD:S000001529","YKL046C","S. cerevisiae","DCW1","Defective Cell Wall"
"SGD:S000001535","YKL052C","S. cerevisiae","ASK1","Associated with Spindles and Kinetochores"
"SGD:S000001540","YKL057C","S. cerevisiae","NUP120","NUclear Pore"
"SGD:S000001541","YKL058W","S. cerevisiae","TOA2",""
"SGD:S000001542","YKL059C","S. cerevisiae","MPE1","Mutant PCF11 Extragenic suppressor"
"SGD:S000001543","YKL060C","S. cerevisiae","FBA1","Fructose-1,6-Bisphosphate Aldolase"
"SGD:S000001544","YKL061W","S. cerevisiae","BLI1","BLoc-1 Interactor"
"SGD:S000001557","YKL074C","S. cerevisiae","MUD2","Mutant U1 Die"
"SGD:S000001561","YKL078W","S. cerevisiae","DHR2","DEAH-box RNA helicase"
"SGD:S000001563","YKL080W","S. cerevisiae","VMA5","Vacuolar Membrane Atpase"
"SGD:S000001564","YKL081W","S. cerevisiae","TEF4","Translation Elongation Factor"
"SGD:S000001571","YKL088W","S. cerevisiae","CAB3","Coenzyme A Biosynthesis"
"SGD:S000001587","YKL104C","S. cerevisiae","GFA1","Glutamine:Fructose-6-phosphate Amidotransferase"
"SGD:S000001602","YKL119C","S. cerevisiae","VPH2","Vacuolar pH"
"SGD:S000001605","YKL122C","S. cerevisiae","SRP21","Signal Recognition Particle"
"SGD:S000001612","YKL129C","S. cerevisiae","MYO3","MYOsin"
"SGD:S000001613","YKL130C","S. cerevisiae","SHE2","Swi5p-dependent HO Expression"
"SGD:S000001618","YKL135C","S. cerevisiae","APL2","clathrin Adaptor Protein complex Large chain"
"SGD:S000001622","YKL139W","S. cerevisiae","CTK1","Carboxy-Terminal domain Kinase"
"SGD:S000001625","YKL142W","S. cerevisiae","MRP8","Mitochondrial Ribosomal Protein"
"SGD:S000001626","YKL143W","S. cerevisiae","LTV1","Low Temperature Viability"
"SGD:S000001627","YKL144C","S. cerevisiae","RPC25","RNA Polymerase C"
"SGD:S000001628","YKL145W","S. cerevisiae","RPT1","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000001631","YKL148C","S. cerevisiae","SDH1","Succinate DeHydrogenase"
"SGD:S000001635","YKL152C","S. cerevisiae","GPM1","Glycerate PhosphoMutase"
"SGD:S000001637","YKL154W","S. cerevisiae","SRP102","Signal Recognition Particle"
"SGD:S000001638","YKL155C","S. cerevisiae","RSM22","Ribosomal Small subunit of Mitochondria"
"SGD:S000001650","YKL167C","S. cerevisiae","MRP49","Mitochondrial Ribosomal Protein"
"SGD:S000001651","YKL168C","S. cerevisiae","KKQ8",""
"SGD:S000001655","YKL172W","S. cerevisiae","EBP2","EBNA1-binding protein (homolog)"
"SGD:S000001656","YKL173W","S. cerevisiae","SNU114","Small NUclear ribonucleoprotein associated"
"SGD:S000001663","YKL180W","S. cerevisiae","RPL17A","Ribosomal Protein of the Large subunit"
"SGD:S000001664","YKL181W","S. cerevisiae","PRS1","PhosphoRibosylpyrophosphate Synthetase"
"SGD:S000001665","YKL182W","S. cerevisiae","FAS1","Fatty Acid Synthetase"
"SGD:S000001673","YKL190W","S. cerevisiae","CNB1","CalciNeurin subunit B"
"SGD:S000001674","YKL191W","S. cerevisiae","DPH2","DiPHthamide"
"SGD:S000001676","YKL193C","S. cerevisiae","SDS22","homolog of S. pombe SDS22"
"SGD:S000001679","YKL196C","S. cerevisiae","YKT6",""
"SGD:S000001687","YKL204W","S. cerevisiae","EAP1","EIF4E-Associated Protein"
"SGD:S000001689","YKL206C","S. cerevisiae","ADD66","Alpha1-proteinase inhibitor-Degradation Deficient"
"SGD:S000001693","YKL210W","S. cerevisiae","UBA1","UBiquitin Activating"
"SGD:S000001694","YKL211C","S. cerevisiae","TRP3","TRyPtophan"
"SGD:S000001697","YKL214C","S. cerevisiae","YRA2","Yeast RNA Annealing protein"
"SGD:S000001709","YKR001C","S. cerevisiae","VPS1","Vacuolar Protein Sorting"
"SGD:S000001710","YKR002W","S. cerevisiae","PAP1","Poly(A) Polymerase"
"SGD:S000001714","YKR006C","S. cerevisiae","MRPL13","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000001716","YKR008W","S. cerevisiae","RSC4","Remodel the Structure of Chromatin"
"SGD:S000001722","YKR014C","S. cerevisiae","YPT52","Yeast Protein Two"
"SGD:S000001729","YKR021W","S. cerevisiae","ALY1","Arrestin-Like Yeast protein"
"SGD:S000001730","YKR022C","S. cerevisiae","NTR2","NineTeen complex Related protein"
"SGD:S000001733","YKR025W","S. cerevisiae","RPC37","RNA Polymerase C"
"SGD:S000001734","YKR026C","S. cerevisiae","GCN3","General Control Nonderepressible"
"SGD:S000001735","YKR027W","S. cerevisiae","BCH2","Bud7 and Chs6 Homolog"
"SGD:S000001736","YKR028W","S. cerevisiae","SAP190","Sit4 Associated Protein"
"SGD:S000001737","YKR029C","S. cerevisiae","SET3","SET domain-containing"
"SGD:S000001745","YKR037C","S. cerevisiae","SPC34","Spindle Pole Component"
"SGD:S000001746","YKR038C","S. cerevisiae","KAE1","Kinase-Associated Endopeptidase"
"SGD:S000001756","YKR048C","S. cerevisiae","NAP1","Nucleosome Assembly Protein"
"SGD:S000001767","YKR059W","S. cerevisiae","TIF1","Translation Initiation Factor"
"SGD:S000001768","YKR060W","S. cerevisiae","UTP30","U Three Protein"
"SGD:S000001770","YKR062W","S. cerevisiae","TFA2","Transcription Factor A"
"SGD:S000001776","YKR068C","S. cerevisiae","BET3","Blocked Early in Transport"
"SGD:S000001779","YKR071C","S. cerevisiae","DRE2","Derepressed for Ribosomal protein S14 Expression"
"SGD:S000001780","YKR072C","S. cerevisiae","SIS2","SIt4 Suppressor"
"SGD:S000001787","YKR079C","S. cerevisiae","TRZ1","tRNase Z"
"SGD:S000001789","YKR081C","S. cerevisiae","RPF2","Ribosome Production Factor"
"SGD:S000001791","YKR083C","S. cerevisiae","DAD2","Duo1 And Dam1 interacting"
"SGD:S000001793","YKR085C","S. cerevisiae","MRPL20","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000001799","YKR091W","S. cerevisiae","SRL3","Suppressor of rad53 Lethality"
"SGD:S000001845","YFL049W","S. cerevisiae","SWP82","SWi/snf-associated Protein"
"SGD:S000001849","YFL045C","S. cerevisiae","SEC53","SECretory"
"SGD:S000001855","YFL039C","S. cerevisiae","ACT1","ACTin"
"SGD:S000001857","YFL037W","S. cerevisiae","TUB2","TUBulin"
"SGD:S000001860","YFL034W","S. cerevisiae","MIL1","Medium adaptin-Interacting Ligand"
"SGD:S000001866","YFL028C","S. cerevisiae","CAF16","CCR4 Associated Factor"
"SGD:S000001870","YFL024C","S. cerevisiae","EPL1","Enhancer of Polycomb Like"
"SGD:S000001871","YFL023W","S. cerevisiae","BUD27","BUD site selection"
"SGD:S000001872","YFL022C","S. cerevisiae","FRS2","phenylalanyl (F)-tRNA Synthetase"
"SGD:S000001876","YFL018C","S. cerevisiae","LPD1","LiPoamide Dehydrogenase"
"SGD:S000001881","YFL013C","S. cerevisiae","IES1","Ino Eighty Subunit"
"SGD:S000001886","YFL008W","S. cerevisiae","SMC1","Stability of MiniChromosomes"
"SGD:S000001887","YFL007W","S. cerevisiae","BLM10","BLeoMycin resistance"
"SGD:S000001894","YFL002C","S. cerevisiae","SPB4","Suppressor of PAB1"
"SGD:S000001897","YFR001W","S. cerevisiae","LOC1","LOCalization of mRNA"
"SGD:S000001898","YFR002W","S. cerevisiae","NIC96","Nucleoporin-Interacting Component of 96 kDa"
"SGD:S000001900","YFR004W","S. cerevisiae","RPN11","Regulatory Particle Non-ATPase"
"SGD:S000001905","YFR009W","S. cerevisiae","GCN20","General Control Nonderepressible"
"SGD:S000001906","YFR010W","S. cerevisiae","UBP6","UBiquitin-specific Protease"
"SGD:S000001909","YFR013W","S. cerevisiae","IOC3","Iswi One Complex"
"SGD:S000001911","YFR015C","S. cerevisiae","GSY1","Glycogen SYnthase"
"SGD:S000001917","YFR021W","S. cerevisiae","ATG18","AuTophaGy related"
"SGD:S000001927","YFR031C","S. cerevisiae","SMC2","Structural Maintenance of Chromosomes"
"SGD:S000001933","YFR037C","S. cerevisiae","RSC8","Remodel the Structure of Chromatin"
"SGD:S000001936","YFR040W","S. cerevisiae","SAP155","Sit4 Associated Protein"
"SGD:S000001945","YFR049W","S. cerevisiae","KGD4","alpha-KetoGlutarate Dehydrogenase"
"SGD:S000001946","YFR050C","S. cerevisiae","PRE4","PRoteinase yscE"
"SGD:S000001947","YFR051C","S. cerevisiae","RET2","RETrieval from ER"
"SGD:S000001948","YFR052W","S. cerevisiae","RPN12","Regulatory Particle Non-ATPase"
"SGD:S000002100","YHR039C-A","S. cerevisiae","VMA10",""
"SGD:S000002104","YFR031C-A","S. cerevisiae","RPL2A","Ribosomal Protein of the Large subunit"
"SGD:S000002129","YAR002C-A","S. cerevisiae","ERP1","Emp24p/Erv25p Related Protein"
"SGD:S000002133","YCR079W","S. cerevisiae","PTC6","Phosphatase Two C"
"SGD:S000002134","YAL034C","S. cerevisiae","FUN19","Function Unknown Now"
"SGD:S000002145","YAR075W","S. cerevisiae","",""
"SGD:S000002156","YBR084C-A","S. cerevisiae","RPL19A","Ribosomal Protein of the Large subunit"
"SGD:S000002160","YDL002C","S. cerevisiae","NHP10","Non-Histone Protein"
"SGD:S000002161","YDL003W","S. cerevisiae","MCD1","Mitotic Chromosome Determinant"
"SGD:S000002163","YDL005C","S. cerevisiae","MED2","MEDiator complex"
"SGD:S000002165","YDL007W","S. cerevisiae","RPT2","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000002171","YDL013W","S. cerevisiae","SLX5","Synthetic Lethal of unknown [X] function"
"SGD:S000002172","YDL014W","S. cerevisiae","NOP1","NucleOlar Protein"
"SGD:S000002176","YDL018C","S. cerevisiae","ERP3","Emp24p/Erv25p Related Protein"
"SGD:S000002187","YDL029W","S. cerevisiae","ARP2","Actin-Related Protein"
"SGD:S000002188","YDL030W","S. cerevisiae","PRP9","Pre-mRNA Processing"
"SGD:S000002189","YDL031W","S. cerevisiae","DBP10","Dead Box Protein"
"SGD:S000002198","YDL040C","S. cerevisiae","NAT1","N-terminal AcetylTransferase"
"SGD:S000002200","YDL042C","S. cerevisiae","SIR2","Silent Information Regulator"
"SGD:S000002201","YDL043C","S. cerevisiae","PRP11","Pre-mRNA Processing"
"SGD:S000002202","YDL044C","S. cerevisiae","MTF2","Mitochondrial Transcription Factor"
"SGD:S000002205","YDL047W","S. cerevisiae","SIT4","Suppressor of Initiation of Transcription"
"SGD:S000002209","YDL051W","S. cerevisiae","LHP1","La-Homologous Protein"
"SGD:S000002211","YDL053C","S. cerevisiae","PBP4","Pbp1p Binding Protein"
"SGD:S000002213","YDL055C","S. cerevisiae","PSA1",""
"SGD:S000002214","YDL056W","S. cerevisiae","MBP1","MluI-box Binding Protein"
"SGD:S000002218","YDL060W","S. cerevisiae","TSR1","Twenty S rRNA accumulation"
"SGD:S000002224","YDL066W","S. cerevisiae","IDP1","Isocitrate Dehydrogenase, NADP-specific"
"SGD:S000002228","YDL070W","S. cerevisiae","BDF2","BromoDomain Factor"
"SGD:S000002232","YDL074C","S. cerevisiae","BRE1","BREfeldin A sensitivity"
"SGD:S000002233","YDL075W","S. cerevisiae","RPL31A","Ribosomal Protein of the Large subunit"
"SGD:S000002234","YDL076C","S. cerevisiae","RXT3",""
"SGD:S000002235","YDL077C","S. cerevisiae","VAM6","VAcuolar Morphogenesis"
"SGD:S000002239","YDL081C","S. cerevisiae","RPP1A","Ribosomal Protein P1 Alpha"
"SGD:S000002240","YDL082W","S. cerevisiae","RPL13A","Ribosomal Protein of the Large subunit"
"SGD:S000002241","YDL083C","S. cerevisiae","RPS16B","Ribosomal Protein of the Small subunit"
"SGD:S000002242","YDL084W","S. cerevisiae","SUB2","SUppressor of Brr1-1"
"SGD:S000002245","YDL087C","S. cerevisiae","LUC7","Lethal Unless Cap-binding complex is produced"
"SGD:S000002248","YDL090C","S. cerevisiae","RAM1","RAS protein and A-factor Maturation"
"SGD:S000002250","YDL092W","S. cerevisiae","SRP14","Signal Recognition Particle"
"SGD:S000002255","YDL097C","S. cerevisiae","RPN6","Regulatory Particle Non-ATPase"
"SGD:S000002256","YDL098C","S. cerevisiae","SNU23","Small NUclear ribonucleoprotein associated"
"SGD:S000002257","YDL099W","S. cerevisiae","BUG1","Binder of USO1 and GRH1"
"SGD:S000002258","YDL100C","S. cerevisiae","GET3","Guided Entry of Tail-anchored proteins"
"SGD:S000002260","YDL102W","S. cerevisiae","POL3","POLymerase"
"SGD:S000002266","YDL108W","S. cerevisiae","KIN28","protein KINase"
"SGD:S000002269","YDL111C","S. cerevisiae","RRP42","Ribosomal RNA Processing"
"SGD:S000002270","YDL112W","S. cerevisiae","TRM3","Transfer RNA Methyltransferase"
"SGD:S000002273","YDL115C","S. cerevisiae","IWR1","Interacts With RNA polymerase II"
"SGD:S000002274","YDL116W","S. cerevisiae","NUP84","NUclear Pore"
"SGD:S000002284","YDL126C","S. cerevisiae","CDC48","Cell Division Cycle"
"SGD:S000002289","YDL131W","S. cerevisiae","LYS21","LYSine"
"SGD:S000002290","YDL132W","S. cerevisiae","CDC53","Cell Division Cycle"
"SGD:S000002292","YDL134C","S. cerevisiae","PPH21","Protein PHosphatase"
"SGD:S000002295","YDL136W","S. cerevisiae","RPL35B","Ribosomal Protein of the Large subunit"
"SGD:S000002299","YDL140C","S. cerevisiae","RPO21","RNA POlymerase"
"SGD:S000002302","YDL143W","S. cerevisiae","CCT4","Chaperonin Containing TCP-1"
"SGD:S000002304","YDL145C","S. cerevisiae","COP1","COat Protein"
"SGD:S000002306","YDL147W","S. cerevisiae","RPN5","Regulatory Particle Non-ATPase"
"SGD:S000002307","YDL148C","S. cerevisiae","NOP14","NucleOlar Protein"
"SGD:S000002309","YDL150W","S. cerevisiae","RPC53","RNA Polymerase C"
"SGD:S000002314","YDL155W","S. cerevisiae","CLB3","CycLin B"
"SGD:S000002315","YDL156W","S. cerevisiae","CMR1","Changed Mutation Rate"
"SGD:S000002319","YDL160C","S. cerevisiae","DHH1","DEAD box Helicase Homolog"
"SGD:S000002324","YDL165W","S. cerevisiae","CDC36","Cell Division Cycle"
"SGD:S000002334","YDL175C","S. cerevisiae","AIR2","Arginine methyltransferase-Interacting RING finger protein"
"SGD:S000002341","YDL182W","S. cerevisiae","LYS20","LYSine requiring"
"SGD:S000002344","YDL185W","S. cerevisiae","VMA1","Vacuolar Membrane Atpase"
"SGD:S000002347","YDL188C","S. cerevisiae","PPH22","Protein PHosphatase"
"SGD:S000002354","YDL195W","S. cerevisiae","SEC31","SECretory"
"SGD:S000002360","YDL201W","S. cerevisiae","TRM8","Transfer RNA Methyltransferase"
"SGD:S000002362","YDL203C","S. cerevisiae","ACK1","Activator of C Kinase"
"SGD:S000002367","YDL208W","S. cerevisiae","NHP2","Non-Histone Protein"
"SGD:S000002368","YDL209C","S. cerevisiae","CWC2","Complexed With Cef1p"
"SGD:S000002372","YDL213C","S. cerevisiae","NOP6","NucleOlar Protein"
"SGD:S000002375","YDL216C","S. cerevisiae","RRI1","Regulator of Rub1 specific Isopeptidase"
"SGD:S000002384","YDL225W","S. cerevisiae","SHS1","Seventh Homolog of Septin"
"SGD:S000002408","YDR001C","S. cerevisiae","NTH1","Neutral TreHalase"
"SGD:S000002412","YDR005C","S. cerevisiae","MAF1",""
"SGD:S000002419","YDR012W","S. cerevisiae","RPL4B","Ribosomal Protein of the Large subunit"
"SGD:S000002420","YDR013W","S. cerevisiae","PSF1","Partner of Sld Five"
"SGD:S000002423","YDR016C","S. cerevisiae","DAD1","Duo1 And Dam1 interacting"
"SGD:S000002429","YDR022C","S. cerevisiae","ATG31","AuTophaGy related"
"SGD:S000002432","YDR025W","S. cerevisiae","RPS11A","Ribosomal Protein of the Small subunit"
"SGD:S000002434","YDR027C","S. cerevisiae","VPS54","Vacuolar Protein Sorting"
"SGD:S000002435","YDR028C","S. cerevisiae","REG1","REsistance to Glucose repression"
"SGD:S000002439","YDR032C","S. cerevisiae","PST2","Protoplasts-SecreTed"
"SGD:S000002443","YDR036C","S. cerevisiae","EHD3",""
"SGD:S000002448","YDR041W","S. cerevisiae","RSM10","Ribosomal Small subunit of Mitochondria"
"SGD:S000002452","YDR045C","S. cerevisiae","RPC11","RNA Polymerase C"
"SGD:S000002456","YDR049W","S. cerevisiae","VMS1","VCP/Cdc48-associated Mitochondrial Stress-responsive"
"SGD:S000002457","YDR050C","S. cerevisiae","TPI1","Triose-Phosphate Isomerase"
"SGD:S000002461","YDR054C","S. cerevisiae","CDC34","Cell Division Cycle"
"SGD:S000002467","YDR060W","S. cerevisiae","MAK21","MAintenance of Killer"
"SGD:S000002469","YDR062W","S. cerevisiae","LCB2","Long-Chain Base"
"SGD:S000002471","YDR064W","S. cerevisiae","RPS13","Ribosomal Protein of the Small subunit"
"SGD:S000002474","YDR067C","S. cerevisiae","OCA6","Oxidant-induced Cell-cycle Arrest"
"SGD:S000002478","YDR071C","S. cerevisiae","PAA1","PolyAmine Acetyltransferase"
"SGD:S000002480","YDR073W","S. cerevisiae","SNF11","Sucrose NonFermenting"
"SGD:S000002481","YDR074W","S. cerevisiae","TPS2","Trehalose-6-Phosphate Synthase/phosphatase"
"SGD:S000002482","YDR075W","S. cerevisiae","PPH3","Protein PHosphatase"
"SGD:S000002487","YDR080W","S. cerevisiae","VPS41","Vacuolar Protein Sorting"
"SGD:S000002494","YDR087C","S. cerevisiae","RRP1","Ribosomal RNA Processing"
"SGD:S000002498","YDR091C","S. cerevisiae","RLI1","RNase L Inhibitor"
"SGD:S000002499","YDR092W","S. cerevisiae","UBC13","UBiquitin-Conjugating"
"SGD:S000002504","YDR097C","S. cerevisiae","MSH6","MutS Homolog"
"SGD:S000002506","YDR099W","S. cerevisiae","BMH2","Brain Modulosignalin Homolog"
"SGD:S000002508","YDR101C","S. cerevisiae","ARX1","Associated with Ribosomal eXport complex"
"SGD:S000002515","YDR108W","S. cerevisiae","TRS85","TRapp Subunit"
"SGD:S000002523","YDR116C","S. cerevisiae","MRPL1","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000002525","YDR118W","S. cerevisiae","APC4","Anaphase Promoting Complex"
"SGD:S000002528","YDR121W","S. cerevisiae","DPB4","DNA Polymerase B (II) subunit"
"SGD:S000002534","YDR127W","S. cerevisiae","ARO1","AROmatic amino acid requiring"
"SGD:S000002536","YDR129C","S. cerevisiae","SAC6","Suppressor of ACtin"
"SGD:S000002544","YDR137W","S. cerevisiae","RGP1","Reduced Growth Phenotype"
"SGD:S000002545","YDR138W","S. cerevisiae","HPR1","HyPerRecombination"
"SGD:S000002548","YDR141C","S. cerevisiae","DOP1","homolog of A. nidulans DOPey"
"SGD:S000002552","YDR145W","S. cerevisiae","TAF12","TATA binding protein-Associated Factor"
"SGD:S000002555","YDR148C","S. cerevisiae","KGD2","alpha-KetoGlutarate Dehydrogenase"
"SGD:S000002559","YDR152W","S. cerevisiae","GIR2","Genetically Interacts with Ribosomal genes"
"SGD:S000002562","YDR155C","S. cerevisiae","CPR1","Cyclosporin A-sensitive Proline Rotamase"
"SGD:S000002563","YDR156W","S. cerevisiae","RPA14","RNA Polymerase A"
"SGD:S000002566","YDR159W","S. cerevisiae","SAC3","Suppressor of ACtin"
"SGD:S000002572","YDR165W","S. cerevisiae","TRM82","Transfer RNA Methyltransferase"
"SGD:S000002573","YDR166C","S. cerevisiae","SEC5","SECretory"
"SGD:S000002574","YDR167W","S. cerevisiae","TAF10","TATA binding protein-Associated Factor"
"SGD:S000002577","YDR170C","S. cerevisiae","SEC7","SECretory"
"SGD:S000002578","YDR171W","S. cerevisiae","HSP42","Heat Shock Protein"
"SGD:S000002579","YDR172W","S. cerevisiae","SUP35","SUPpressor"
"SGD:S000002581","YDR174W","S. cerevisiae","HMO1","High MObility group (HMG) family"
"SGD:S000002582","YDR175C","S. cerevisiae","RSM24","Ribosomal Small subunit of Mitochondria"
"SGD:S000002583","YDR176W","S. cerevisiae","NGG1",""
"SGD:S000002586","YDR179C","S. cerevisiae","CSN9","Cop9 SigNalosome subunit"
"SGD:S000002588","YDR180W","S. cerevisiae","SCC2","Sister Chromatid Cohesion"
"SGD:S000002594","YDR186C","S. cerevisiae","SND1","Srp-iNDependent targeting"
"SGD:S000002596","YDR188W","S. cerevisiae","CCT6","Chaperonin Containing TCP-1"
"SGD:S000002598","YDR190C","S. cerevisiae","RVB1","RuVB-like"
"SGD:S000002603","YDR195W","S. cerevisiae","REF2","RNA End Formation"
"SGD:S000002609","YDR201W","S. cerevisiae","SPC19","Spindle Pole Component"
"SGD:S000002610","YDR202C","S. cerevisiae","RAV2","Regulator of (H+)-ATPase in Vacuolar membrane"
"SGD:S000002615","YDR207C","S. cerevisiae","UME6","Unscheduled Meiotic gene Expression"
"SGD:S000002619","YDR211W","S. cerevisiae","GCD6","General Control Derepressed"
"SGD:S000002622","YDR214W","S. cerevisiae","AHA1","Activator of Heat shock protein 90 ATPase"
"SGD:S000002629","YDR221W","S. cerevisiae","GTB1","Glucosidase Two Beta-subunit"
"SGD:S000002632","YDR224C","S. cerevisiae","HTB1","Histone h Two B"
"SGD:S000002633","YDR225W","S. cerevisiae","HTA1","Histone h Two A"
"SGD:S000002635","YDR227W","S. cerevisiae","SIR4","Silent Information Regulator"
"SGD:S000002636","YDR228C","S. cerevisiae","PCF11","Protein 1 of Cleavage and polyadenylation Factor I"
"SGD:S000002639","YDR231C","S. cerevisiae","COX20","Cytochrome c OXidase"
"SGD:S000002641","YDR233C","S. cerevisiae","RTN1","ReTiculoN-like"
"SGD:S000002643","YDR235W","S. cerevisiae","PRP42","Pre-mRNA Processing"
"SGD:S000002645","YDR237W","S. cerevisiae","MRPL7","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000002646","YDR238C","S. cerevisiae","SEC26","SECretory"
"SGD:S000002648","YDR240C","S. cerevisiae","SNU56","Small NUclear ribonucleoprotein associated"
"SGD:S000002652","YDR244W","S. cerevisiae","PEX5","PEroXin"
"SGD:S000002653","YDR245W","S. cerevisiae","MNN10","MaNNosyltransferase"
"SGD:S000002654","YDR246W","S. cerevisiae","TRS23","TRapp Subunit"
"SGD:S000002662","YDR254W","S. cerevisiae","CHL4","CHromosome Loss"
"SGD:S000002663","YDR255C","S. cerevisiae","RMD5","Required for Meiotic nuclear Division"
"SGD:S000002672","YDR264C","S. cerevisiae","AKR1","AnKyrin Repeat containing"
"SGD:S000002675","YDR267C","S. cerevisiae","CIA1","Cytosolic Iron-sulfur protein Assembly"
"SGD:S000002687","YDR279W","S. cerevisiae","RNH202","RNase H"
"SGD:S000002688","YDR280W","S. cerevisiae","RRP45","Ribosomal RNA Processing"
"SGD:S000002696","YDR288W","S. cerevisiae","NSE3","Non SMC Element"
"SGD:S000002697","YDR289C","S. cerevisiae","RTT103","Regulator of Ty1 Transposition"
"SGD:S000002700","YDR292C","S. cerevisiae","SRP101","Signal Recognition Particle"
