"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000001655","YKL172W","S. cerevisiae","EBP2","EBNA1-binding protein (homolog)"
"SGD:S000001656","YKL173W","S. cerevisiae","SNU114","Small NUclear ribonucleoprotein associated"
"SGD:S000001659","YKL176C","S. cerevisiae","LST4","Lethal with Sec Thirteen"
"SGD:S000001662","YKL179C","S. cerevisiae","COY1","CASP Of Yeast"
"SGD:S000001665","YKL182W","S. cerevisiae","FAS1","Fatty Acid Synthetase"
"SGD:S000001666","YKL183W","S. cerevisiae","LOT5","LOw Temperature-responsive"
"SGD:S000001668","YKL185W","S. cerevisiae","ASH1","Asymmetric Synthesis of HO"
"SGD:S000001669","YKL186C","S. cerevisiae","MTR2","Mrna TRansport"
"SGD:S000001670","YKL187C","S. cerevisiae","FAT3","FATty acid transporter"
"SGD:S000001671","YKL188C","S. cerevisiae","PXA2","PeroXisomal ABC-transporter"
"SGD:S000001673","YKL190W","S. cerevisiae","CNB1","CalciNeurin subunit B"
"SGD:S000001674","YKL191W","S. cerevisiae","DPH2","DiPHthamide"
"SGD:S000001675","YKL192C","S. cerevisiae","ACP1","Acyl Carrier Protein"
"SGD:S000001676","YKL193C","S. cerevisiae","SDS22","homolog of S. pombe SDS22"
"SGD:S000001677","YKL194C","S. cerevisiae","MST1","Mitochondrial aminoacyl-tRNA Synthetase, Threonine"
"SGD:S000001678","YKL195W","S. cerevisiae","MIA40","Mitochondrial intermembrane space Import and Assembly"
"SGD:S000001680","YKL197C","S. cerevisiae","PEX1","PEroXin"
"SGD:S000001684","YKL201C","S. cerevisiae","MNN4","MaNNosyltransferase"
"SGD:S000001686","YKL203C","S. cerevisiae","TOR2","Target Of Rapamycin"
"SGD:S000001687","YKL204W","S. cerevisiae","EAP1","EIF4E-Associated Protein"
"SGD:S000001688","YKL205W","S. cerevisiae","LOS1","Loss Of Suppression"
"SGD:S000001689","YKL206C","S. cerevisiae","ADD66","Alpha1-proteinase inhibitor-Degradation Deficient"
"SGD:S000001690","YKL207W","S. cerevisiae","EMC3","ER Membrane protein Complex"
"SGD:S000001693","YKL210W","S. cerevisiae","UBA1","UBiquitin Activating"
"SGD:S000001694","YKL211C","S. cerevisiae","TRP3","TRyPtophan"
"SGD:S000001695","YKL212W","S. cerevisiae","SAC1","Suppressor of ACtin"
"SGD:S000001696","YKL213C","S. cerevisiae","DOA1","Degradation Of Alpha"
"SGD:S000001697","YKL214C","S. cerevisiae","YRA2","Yeast RNA Annealing protein"
"SGD:S000001698","YKL215C","S. cerevisiae","OXP1","OXoProlinase"
"SGD:S000001699","YKL216W","S. cerevisiae","URA1","URAcil requiring"
"SGD:S000001700","YKL217W","S. cerevisiae","JEN1",""
"SGD:S000001704","YKL221W","S. cerevisiae","MCH2","MonoCarboxylate permease Homologue"
"SGD:S000001709","YKR001C","S. cerevisiae","VPS1","Vacuolar Protein Sorting"
"SGD:S000001710","YKR002W","S. cerevisiae","PAP1","Poly(A) Polymerase"
"SGD:S000001711","YKR003W","S. cerevisiae","OSH6","OxySterol binding protein Homolog"
"SGD:S000001714","YKR006C","S. cerevisiae","MRPL13","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000001716","YKR008W","S. cerevisiae","RSC4","Remodel the Structure of Chromatin"
"SGD:S000001717","YKR009C","S. cerevisiae","FOX2","Fatty acid OXidation"
"SGD:S000001718","YKR010C","S. cerevisiae","TOF2","TOpoisomerase I-interacting Factor"
"SGD:S000001719","YKR011C","S. cerevisiae","FPT1","Factor in the Proteome of TDNAs"
"SGD:S000001722","YKR014C","S. cerevisiae","YPT52","Yeast Protein Two"
"SGD:S000001723","YKR015C","S. cerevisiae","",""
"SGD:S000001726","YKR018C","S. cerevisiae","",""
"SGD:S000001727","YKR019C","S. cerevisiae","IRS4","Increased rDNA Silencing"
"SGD:S000001730","YKR022C","S. cerevisiae","NTR2","NineTeen complex Related protein"
"SGD:S000001731","YKR023W","S. cerevisiae","RQT4","Ribosome-Quality control Trigger factor"
"SGD:S000001732","YKR024C","S. cerevisiae","DBP7","Dead Box Protein"
"SGD:S000001733","YKR025W","S. cerevisiae","RPC37","RNA Polymerase C"
"SGD:S000001734","YKR026C","S. cerevisiae","GCN3","General Control Nonderepressible"
"SGD:S000001735","YKR027W","S. cerevisiae","BCH2","Bud7 and Chs6 Homolog"
"SGD:S000001736","YKR028W","S. cerevisiae","SAP190","Sit4 Associated Protein"
"SGD:S000001737","YKR029C","S. cerevisiae","SET3","SET domain-containing"
"SGD:S000001739","YKR031C","S. cerevisiae","SPO14","SPOrulation"
"SGD:S000001744","YKR036C","S. cerevisiae","CAF4","CCR4 Associated Factor"
"SGD:S000001745","YKR037C","S. cerevisiae","SPC34","Spindle Pole Component"
"SGD:S000001746","YKR038C","S. cerevisiae","KAE1","Kinase-Associated Endopeptidase"
"SGD:S000001750","YKR042W","S. cerevisiae","UTH1","yoUTH"
"SGD:S000001751","YKR043C","S. cerevisiae","SHB17","SedoHeptulose 1,7-Bisphosphatase"
"SGD:S000001754","YKR046C","S. cerevisiae","PLN1","PeriLipiN"
"SGD:S000001755","YKR047W","S. cerevisiae","",""
"SGD:S000001756","YKR048C","S. cerevisiae","NAP1","Nucleosome Assembly Protein"
"SGD:S000001757","YKR049C","S. cerevisiae","FMP46","Found in Mitochondrial Proteome"
"SGD:S000001758","YKR050W","S. cerevisiae","TRK2","TRansport of potassium (K)"
"SGD:S000001762","YKR054C","S. cerevisiae","DYN1","DYNein"
"SGD:S000001764","YKR056W","S. cerevisiae","TRM2","tRNA Methyltransferase"
"SGD:S000001766","YKR058W","S. cerevisiae","GLG1","Glycogenin-Like Gene"
"SGD:S000001767","YKR059W","S. cerevisiae","TIF1","Translation Initiation Factor"
"SGD:S000001770","YKR062W","S. cerevisiae","TFA2","Transcription Factor A"
"SGD:S000001771","YKR063C","S. cerevisiae","LAS1","Lethal in the Absence of SSD1-v"
"SGD:S000001772","YKR064W","S. cerevisiae","OAF3","Oleate Activated transcription Factor"
"SGD:S000001775","YKR067W","S. cerevisiae","GPT2","Glycerol-3-Phosphate acylTransferase"
"SGD:S000001776","YKR068C","S. cerevisiae","BET3","Blocked Early in Transport"
"SGD:S000001778","YKR070W","S. cerevisiae","",""
"SGD:S000001779","YKR071C","S. cerevisiae","DRE2","Derepressed for Ribosomal protein S14 Expression"
"SGD:S000001780","YKR072C","S. cerevisiae","SIS2","SIt4 Suppressor"
"SGD:S000001785","YKR077W","S. cerevisiae","MSA2","Mbf and Sbf Associated"
"SGD:S000001786","YKR078W","S. cerevisiae","VPS501","VPS5-related"
"SGD:S000001787","YKR079C","S. cerevisiae","TRZ1","tRNase Z"
"SGD:S000001789","YKR081C","S. cerevisiae","RPF2","Ribosome Production Factor"
"SGD:S000001790","YKR082W","S. cerevisiae","NUP133","NUclear Pore"
"SGD:S000001791","YKR083C","S. cerevisiae","DAD2","Duo1 And Dam1 interacting"
"SGD:S000001792","YKR084C","S. cerevisiae","HBS1","Hsp70 subfamily B Suppressor"
"SGD:S000001793","YKR085C","S. cerevisiae","MRPL20","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000001794","YKR086W","S. cerevisiae","PRP16","Pre-mRNA Processing"
"SGD:S000001797","YKR089C","S. cerevisiae","TGL4","TriacylGlycerol Lipase"
"SGD:S000001800","YKR092C","S. cerevisiae","SRP40","Serine Rich Protein"
"SGD:S000001801","YKR093W","S. cerevisiae","PTR2","Peptide TRansport"
"SGD:S000001803","YKR095W","S. cerevisiae","MLP1","Myosin-Like Protein"
"SGD:S000001806","YKR098C","S. cerevisiae","UBP11","UBiquitin-specific Protease"
"SGD:S000001807","YKR099W","S. cerevisiae","BAS1","BASal"
"SGD:S000001809","YKR101W","S. cerevisiae","SIR1","Silent Information Regulator"
"SGD:S000001811","YKR103W","S. cerevisiae","NFT1","New Full-length MRP-type Transporter"
"SGD:S000001840","YFL054C","S. cerevisiae","AQY3","AQuaporin from Yeast"
"SGD:S000001841","YFL053W","S. cerevisiae","DAK2","DihydroxyAcetone Kinase"
"SGD:S000001842","YFL052W","S. cerevisiae","ZNF1","ZiNc Finger protein"
"SGD:S000001845","YFL049W","S. cerevisiae","SWP82","SWi/snf-associated Protein"
"SGD:S000001846","YFL048C","S. cerevisiae","EMP47",""
"SGD:S000001849","YFL045C","S. cerevisiae","SEC53","SECretory"
"SGD:S000001850","YFL044C","S. cerevisiae","OTU1","Ovarian TUmor"
"SGD:S000001852","YFL042C","S. cerevisiae","LAM5","Lipid transfer protein Anchored at Membrane contact site"
"SGD:S000001853","YFL041W","S. cerevisiae","FET5","FErrous Transport"
"SGD:S000001856","YFL038C","S. cerevisiae","YPT1","Yeast Protein Two"
"SGD:S000001857","YFL037W","S. cerevisiae","TUB2","TUBulin"
"SGD:S000001860","YFL034W","S. cerevisiae","MIL1","Medium adaptin-Interacting Ligand"
"SGD:S000001861","YFL033C","S. cerevisiae","RIM15","Regulator of IME2"
"SGD:S000001865","YFL029C","S. cerevisiae","CAK1","Cdk-Activating Kinase"
"SGD:S000001867","YFL027C","S. cerevisiae","GYP8","Gtpase-activating protein for Ypt Proteins"
"SGD:S000001868","YFL026W","S. cerevisiae","STE2","STErile"
"SGD:S000001869","YFL025C","S. cerevisiae","BST1","Bypass of Sec Thirteen"
"SGD:S000001870","YFL024C","S. cerevisiae","EPL1","Enhancer of Polycomb Like"
"SGD:S000001871","YFL023W","S. cerevisiae","BUD27","BUD site selection"
"SGD:S000001872","YFL022C","S. cerevisiae","FRS2","phenylalanyl (F)-tRNA Synthetase"
"SGD:S000001873","YFL021W","S. cerevisiae","GAT1",""
"SGD:S000001876","YFL018C","S. cerevisiae","LPD1","LiPoamide Dehydrogenase"
"SGD:S000001877","YFL017C","S. cerevisiae","GNA1","GlucosamiNe-6-phosphate Acetyltransferase"
"SGD:S000001878","YFL016C","S. cerevisiae","MDJ1","Mitochondrial DnaJ"
"SGD:S000001880","YFL014W","S. cerevisiae","HSP12","Heat Shock Protein"
"SGD:S000001881","YFL013C","S. cerevisiae","IES1","Ino Eighty Subunit"
"SGD:S000001884","YFL010C","S. cerevisiae","WWM1","WW domain containing protein interacting with Metacaspase"
"SGD:S000001885","YFL009W","S. cerevisiae","CDC4","Cell Division Cycle"
"SGD:S000001886","YFL008W","S. cerevisiae","SMC1","Stability of MiniChromosomes"
"SGD:S000001887","YFL007W","S. cerevisiae","BLM10","BLeoMycin resistance"
"SGD:S000001888","YFL006W","S. cerevisiae","",""
"SGD:S000001890","YFL004W","S. cerevisiae","VTC2","Vacuolar Transporter Chaperone"
"SGD:S000001894","YFL002C","S. cerevisiae","SPB4","Suppressor of PAB1"
"SGD:S000001895","YFL001W","S. cerevisiae","DEG1","DEpressed Growth rate"
"SGD:S000001897","YFR001W","S. cerevisiae","LOC1","LOCalization of mRNA"
"SGD:S000001898","YFR002W","S. cerevisiae","NIC96","Nucleoporin-Interacting Component of 96 kDa"
"SGD:S000001899","YFR003C","S. cerevisiae","YPI1","Yeast Phosphatase Inhibitor"
"SGD:S000001900","YFR004W","S. cerevisiae","RPN11","Regulatory Particle Non-ATPase"
"SGD:S000001903","YFR007W","S. cerevisiae","YFH7",""
"SGD:S000001904","YFR008W","S. cerevisiae","FAR7","Factor ARrest"
"SGD:S000001905","YFR009W","S. cerevisiae","GCN20","General Control Nonderepressible"
"SGD:S000001906","YFR010W","S. cerevisiae","UBP6","UBiquitin-specific Protease"
"SGD:S000001907","YFR011C","S. cerevisiae","MIC19","MItochondrial contact site and Cristae organizing system"
"SGD:S000001908","YFR012W","S. cerevisiae","DCV1","Demands Cdc28 kinase activity for Viability"
"SGD:S000001909","YFR013W","S. cerevisiae","IOC3","Iswi One Complex"
"SGD:S000001910","YFR014C","S. cerevisiae","CMK1","CalModulin dependent protein Kinase"
"SGD:S000001911","YFR015C","S. cerevisiae","GSY1","Glycogen SYnthase"
"SGD:S000001912","YFR016C","S. cerevisiae","AIP5","Actin Interacting Protein"
"SGD:S000001913","YFR017C","S. cerevisiae","IGD1","Inhibitor of Glycogen Debranching"
"SGD:S000001915","YFR019W","S. cerevisiae","FAB1","Forms Aploid and Binucleate cells"
"SGD:S000001917","YFR021W","S. cerevisiae","ATG18","AuTophaGy related"
"SGD:S000001918","YFR022W","S. cerevisiae","ROG3","Revertant Of Glycogen synthase kinase mutation"
"SGD:S000001919","YFR023W","S. cerevisiae","PES4","Polymerase Epsilon Suppressor"
"SGD:S000001920","YFR024C","S. cerevisiae","",""
"SGD:S000001921","YFR025C","S. cerevisiae","HIS2","HIStidine requiring"
"SGD:S000001924","YFR028C","S. cerevisiae","CDC14","Cell Division Cycle"
"SGD:S000001925","YFR029W","S. cerevisiae","PTR3","Peptide TRansport"
"SGD:S000001926","YFR030W","S. cerevisiae","MET10","METhionine requiring"
"SGD:S000001927","YFR031C","S. cerevisiae","SMC2","Structural Maintenance of Chromosomes"
"SGD:S000001928","YFR032C","S. cerevisiae","RRT5","Regulator of rDNA Transcription"
"SGD:S000001930","YFR034C","S. cerevisiae","PHO4","PHOsphate metabolism"
"SGD:S000001932","YFR036W","S. cerevisiae","CDC26","Cell Division Cycle"
"SGD:S000001933","YFR037C","S. cerevisiae","RSC8","Remodel the Structure of Chromatin"
"SGD:S000001936","YFR040W","S. cerevisiae","SAP155","Sit4 Associated Protein"
"SGD:S000001939","YFR043C","S. cerevisiae","IRC6","Increased Recombination Centers"
"SGD:S000001940","YFR044C","S. cerevisiae","DUG1","Deficient in Utilization of Glutathione"
"SGD:S000001942","YFR046C","S. cerevisiae","CNN1","Co-purified with NNf1p"
"SGD:S000001944","YFR048W","S. cerevisiae","RMD8","Required for Meiotic nuclear Division"
"SGD:S000001945","YFR049W","S. cerevisiae","KGD4","alpha-KetoGlutarate Dehydrogenase"
"SGD:S000001946","YFR050C","S. cerevisiae","PRE4","PRoteinase yscE"
"SGD:S000001947","YFR051C","S. cerevisiae","RET2","RETrieval from ER"
"SGD:S000001948","YFR052W","S. cerevisiae","RPN12","Regulatory Particle Non-ATPase"
"SGD:S000001949","YFR053C","S. cerevisiae","HXK1","HeXoKinase"
"SGD:S000001952","YFR055W","S. cerevisiae","IRC7","Increased Recombination Centers"
"SGD:S000001954","YER044C-A","S. cerevisiae","MEI4","MEIosis-specific"
"SGD:S000001956","YKL096W-A","S. cerevisiae","CWP2","Cell Wall Protein"
"SGD:S000002100","YHR039C-A","S. cerevisiae","VMA10",""
"SGD:S000002128","YER087C-B","S. cerevisiae","SBH1","Sec61 beta homolog"
"SGD:S000002129","YAR002C-A","S. cerevisiae","ERP1","Emp24p/Erv25p Related Protein"
"SGD:S000002133","YCR079W","S. cerevisiae","PTC6","Phosphatase Two C"
"SGD:S000002134","YAL034C","S. cerevisiae","FUN19","Function Unknown Now"
"SGD:S000002139","YAL056C-A","S. cerevisiae","",""
"SGD:S000002145","YAR075W","S. cerevisiae","",""
"SGD:S000002146","YBL005W-A","S. cerevisiae","",""
"SGD:S000002149","YBL100W-B","S. cerevisiae","",""
"SGD:S000002150","YBL109W","S. cerevisiae","",""
"SGD:S000002151","YBL111C","S. cerevisiae","",""
"SGD:S000002153","YBL113C","S. cerevisiae","",""
"SGD:S000002154","YBR012W-A","S. cerevisiae","",""
"SGD:S000002157","YBR089C-A","S. cerevisiae","NHP6B","Non-Histone Protein"
"SGD:S000002160","YDL002C","S. cerevisiae","NHP10","Non-Histone Protein"
"SGD:S000002161","YDL003W","S. cerevisiae","MCD1","Mitotic Chromosome Determinant"
"SGD:S000002162","YDL004W","S. cerevisiae","ATP16","ATP synthase"
"SGD:S000002163","YDL005C","S. cerevisiae","MED2","MEDiator complex"
"SGD:S000002164","YDL006W","S. cerevisiae","PTC1","Phosphatase type Two C"
"SGD:S000002165","YDL007W","S. cerevisiae","RPT2","Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"
"SGD:S000002166","YDL008W","S. cerevisiae","APC11","Anaphase Promoting Complex"
"SGD:S000002171","YDL013W","S. cerevisiae","SLX5","Synthetic Lethal of unknown [X] function"
"SGD:S000002172","YDL014W","S. cerevisiae","NOP1","NucleOlar Protein"
"SGD:S000002173","YDL015C","S. cerevisiae","TSC13","Temperature-sensitive Suppressors of Csg2 mutants"
"SGD:S000002175","YDL017W","S. cerevisiae","CDC7","Cell Division Cycle"
"SGD:S000002177","YDL019C","S. cerevisiae","OSH2","OxySterol binding protein Homolog"
"SGD:S000002178","YDL020C","S. cerevisiae","RPN4","Regulatory Particle Non-ATPase"
"SGD:S000002179","YDL021W","S. cerevisiae","GPM2","Glycerate PhosphoMutase"
"SGD:S000002180","YDL022W","S. cerevisiae","GPD1","Glycerol-3-Phosphate Dehydrogenase"
"SGD:S000002183","YDL025C","S. cerevisiae","RTK1","Ribosome biogenesis and TRNA synthetase-associated Kinase"
"SGD:S000002185","YDL027C","S. cerevisiae","MRX9","Mitochondrial oRganization of gene eXpression (MIOREX)"
"SGD:S000002186","YDL028C","S. cerevisiae","MPS1","MonoPolar Spindle"
"SGD:S000002187","YDL029W","S. cerevisiae","ARP2","Actin-Related Protein"
"SGD:S000002188","YDL030W","S. cerevisiae","PRP9","Pre-mRNA Processing"
"SGD:S000002189","YDL031W","S. cerevisiae","DBP10","Dead Box Protein"
"SGD:S000002193","YDL035C","S. cerevisiae","GPR1","G-Protein coupled Receptor"
"SGD:S000002194","YDL036C","S. cerevisiae","PUS9","PseudoUridine Synthase"
"SGD:S000002196","YDL038C","S. cerevisiae","",""
"SGD:S000002198","YDL040C","S. cerevisiae","NAT1","N-terminal AcetylTransferase"
"SGD:S000002200","YDL042C","S. cerevisiae","SIR2","Silent Information Regulator"
"SGD:S000002201","YDL043C","S. cerevisiae","PRP11","Pre-mRNA Processing"
"SGD:S000002202","YDL044C","S. cerevisiae","MTF2","Mitochondrial Transcription Factor"
"SGD:S000002205","YDL047W","S. cerevisiae","SIT4","Suppressor of Initiation of Transcription"
"SGD:S000002206","YDL048C","S. cerevisiae","STP4","protein with similarity to Stp1p"
"SGD:S000002209","YDL051W","S. cerevisiae","LHP1","La-Homologous Protein"
"SGD:S000002210","YDL052C","S. cerevisiae","SLC1","SphingoLipid Compensation"
"SGD:S000002211","YDL053C","S. cerevisiae","PBP4","Pbp1p Binding Protein"
"SGD:S000002212","YDL054C","S. cerevisiae","MCH1","MonoCarboxylate transporter Homolog"
"SGD:S000002213","YDL055C","S. cerevisiae","PSA1",""
"SGD:S000002214","YDL056W","S. cerevisiae","MBP1","MluI-box Binding Protein"
"SGD:S000002216","YDL058W","S. cerevisiae","USO1","yUSOu - transport in Japanese"
"SGD:S000002217","YDL059C","S. cerevisiae","RAD59","RADiation sensitive"
"SGD:S000002218","YDL060W","S. cerevisiae","TSR1","Twenty S rRNA accumulation"
"SGD:S000002220","YDL062W","S. cerevisiae","",""
"SGD:S000002221","YDL063C","S. cerevisiae","SYO1","SYnchronized impOrt or SYmpOrtin"
"SGD:S000002223","YDL065C","S. cerevisiae","PEX19","PEroXisome related"
"SGD:S000002224","YDL066W","S. cerevisiae","IDP1","Isocitrate Dehydrogenase, NADP-specific"
"SGD:S000002226","YDL068W","S. cerevisiae","",""
"SGD:S000002227","YDL069C","S. cerevisiae","CBS1","Cytochrome B Synthesis"
"SGD:S000002228","YDL070W","S. cerevisiae","BDF2","BromoDomain Factor"
"SGD:S000002231","YDL073W","S. cerevisiae","AHK1","Associated with HKr1"
"SGD:S000002232","YDL074C","S. cerevisiae","BRE1","BREfeldin A sensitivity"
"SGD:S000002234","YDL076C","S. cerevisiae","RXT3",""
"SGD:S000002235","YDL077C","S. cerevisiae","VAM6","VAcuolar Morphogenesis"
"SGD:S000002236","YDL078C","S. cerevisiae","MDH3","Malate DeHydrogenase"
"SGD:S000002238","YDL080C","S. cerevisiae","THI3","THIamine metabolism"
"SGD:S000002239","YDL081C","S. cerevisiae","RPP1A","Ribosomal Protein P1 Alpha"
"SGD:S000002242","YDL084W","S. cerevisiae","SUB2","SUppressor of Brr1-1"
"SGD:S000002243","YDL085W","S. cerevisiae","NDE2","NADH Dehydrogenase, External"
"SGD:S000002245","YDL087C","S. cerevisiae","LUC7","Lethal Unless Cap-binding complex is produced"
"SGD:S000002246","YDL088C","S. cerevisiae","ASM4","Anti-Suppressor in Multicopy"
"SGD:S000002248","YDL090C","S. cerevisiae","RAM1","RAS protein and A-factor Maturation"
"SGD:S000002250","YDL092W","S. cerevisiae","SRP14","Signal Recognition Particle"
"SGD:S000002251","YDL093W","S. cerevisiae","PMT5","Protein O-MannosylTransferase"
"SGD:S000002253","YDL095W","S. cerevisiae","PMT1","Protein O-MannosylTransferase"
"SGD:S000002255","YDL097C","S. cerevisiae","RPN6","Regulatory Particle Non-ATPase"
"SGD:S000002256","YDL098C","S. cerevisiae","SNU23","Small NUclear ribonucleoprotein associated"
"SGD:S000002257","YDL099W","S. cerevisiae","BUG1","Binder of USO1 and GRH1"
"SGD:S000002258","YDL100C","S. cerevisiae","GET3","Guided Entry of Tail-anchored proteins"
"SGD:S000002259","YDL101C","S. cerevisiae","DUN1","DNA-damage UNinducible"
"SGD:S000002260","YDL102W","S. cerevisiae","POL3","POLymerase"
"SGD:S000002261","YDL103C","S. cerevisiae","QRI1",""
"SGD:S000002262","YDL104C","S. cerevisiae","QRI7",""
"SGD:S000002263","YDL105W","S. cerevisiae","NSE4","Non-SMC Element"
"SGD:S000002264","YDL106C","S. cerevisiae","PHO2","PHOsphate metabolism"
"SGD:S000002266","YDL108W","S. cerevisiae","KIN28","protein KINase"
"SGD:S000002267","YDL109C","S. cerevisiae","",""
"SGD:S000002268","YDL110C","S. cerevisiae","TMA17","Translation Machinery Associated"
"SGD:S000002269","YDL111C","S. cerevisiae","RRP42","Ribosomal RNA Processing"
"SGD:S000002270","YDL112W","S. cerevisiae","TRM3","Transfer RNA Methyltransferase"
"SGD:S000002273","YDL115C","S. cerevisiae","IWR1","Interacts With RNA polymerase II"
"SGD:S000002274","YDL116W","S. cerevisiae","NUP84","NUclear Pore"
"SGD:S000002275","YDL117W","S. cerevisiae","CYK3","CYtoKinesis"
"SGD:S000002276","YDL118W","S. cerevisiae","",""
"SGD:S000002279","YDL121C","S. cerevisiae","EXP1","ER eXport of Pma1"
"SGD:S000002280","YDL122W","S. cerevisiae","UBP1","UBiquitin-specific Protease"
"SGD:S000002283","YDL125C","S. cerevisiae","HNT1","Histidine triad NucleoTide-binding"
"SGD:S000002284","YDL126C","S. cerevisiae","CDC48","Cell Division Cycle"
"SGD:S000002285","YDL127W","S. cerevisiae","PCL2","Pho85 CycLin"
"SGD:S000002288","YDL130W","S. cerevisiae","RPP1B","Ribosomal Protein P1 Beta"
"SGD:S000002289","YDL131W","S. cerevisiae","LYS21","LYSine"
"SGD:S000002290","YDL132W","S. cerevisiae","CDC53","Cell Division Cycle"
"SGD:S000002292","YDL134C","S. cerevisiae","PPH21","Protein PHosphatase"
"SGD:S000002294","YDL135C","S. cerevisiae","RDI1","Rho GDP Dissociation Inhibitor"
"SGD:S000002296","YDL137W","S. cerevisiae","ARF2","ADP-Ribosylation Factor"
"SGD:S000002297","YDL138W","S. cerevisiae","RGT2","Restores Glucose Transport"
"SGD:S000002298","YDL139C","S. cerevisiae","SCM3","Suppressor of Chromosome Missegregation"
"SGD:S000002299","YDL140C","S. cerevisiae","RPO21","RNA POlymerase"
"SGD:S000002300","YDL141W","S. cerevisiae","BPL1","Biotin:apoProtein Ligase"
"SGD:S000002302","YDL143W","S. cerevisiae","CCT4","Chaperonin Containing TCP-1"
"SGD:S000002303","YDL144C","S. cerevisiae","",""
"SGD:S000002304","YDL145C","S. cerevisiae","COP1","COat Protein"
"SGD:S000002306","YDL147W","S. cerevisiae","RPN5","Regulatory Particle Non-ATPase"
"SGD:S000002307","YDL148C","S. cerevisiae","NOP14","NucleOlar Protein"
"SGD:S000002309","YDL150W","S. cerevisiae","RPC53","RNA Polymerase C"
"SGD:S000002310","YDL151C","S. cerevisiae","BUD30","BUD site selection"
"SGD:S000002312","YDL153C","S. cerevisiae","SAS10","Something About Silencing"
"SGD:S000002313","YDL154W","S. cerevisiae","MSH5","MutS Homolog"
"SGD:S000002314","YDL155W","S. cerevisiae","CLB3","CycLin B"
"SGD:S000002315","YDL156W","S. cerevisiae","CMR1","Changed Mutation Rate"
"SGD:S000002316","YDL157C","S. cerevisiae","DMO2","Determines Mitochondrial prOteome"
"SGD:S000002319","YDL160C","S. cerevisiae","DHH1","DEAD box Helicase Homolog"
"SGD:S000002320","YDL161W","S. cerevisiae","ENT1","Epsin N-Terminal homology"
"SGD:S000002323","YDL164C","S. cerevisiae","CDC9","Cell Division Cycle"
"SGD:S000002325","YDL166C","S. cerevisiae","FAP7","Factor Activating Pos9"
"SGD:S000002327","YDL168W","S. cerevisiae","SFA1","Sensitive to FormAldehyde"
"SGD:S000002330","YDL171C","S. cerevisiae","GLT1","GLuTamate synthase"
"SGD:S000002332","YDL173W","S. cerevisiae","PAR32","Phosphorylated After Rapamycin"
"SGD:S000002334","YDL175C","S. cerevisiae","AIR2","Arginine methyltransferase-Interacting RING finger protein"
"SGD:S000002335","YDL176W","S. cerevisiae","GID12","Glucose Induced Degradation deficient"
"SGD:S000002338","YDL179W","S. cerevisiae","PCL9","Pho85 CycLin"
"SGD:S000002340","YDL181W","S. cerevisiae","INH1","INHibitor (of F1F0-ATPase)"
"SGD:S000002341","YDL182W","S. cerevisiae","LYS20","LYSine requiring"
"SGD:S000002344","YDL185W","S. cerevisiae","VMA1","Vacuolar Membrane Atpase"
"SGD:S000002347","YDL188C","S. cerevisiae","PPH22","Protein PHosphatase"
"SGD:S000002349","YDL190C","S. cerevisiae","UFD2","Ubiquitin Fusion Degradation"
"SGD:S000002352","YDL193W","S. cerevisiae","NUS1","Nuclear Undecaprenyl pyrophosphate Synthase"
"SGD:S000002353","YDL194W","S. cerevisiae","SNF3","Sucrose NonFermenting"
"SGD:S000002354","YDL195W","S. cerevisiae","SEC31","SECretory"
"SGD:S000002356","YDL197C","S. cerevisiae","ASF2","Anti-Silencing Function"
"SGD:S000002358","YDL199C","S. cerevisiae","",""
"SGD:S000002360","YDL201W","S. cerevisiae","TRM8","Transfer RNA Methyltransferase"
"SGD:S000002361","YDL202W","S. cerevisiae","MRPL11","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000002362","YDL203C","S. cerevisiae","ACK1","Activator of C Kinase"
"SGD:S000002365","YDL206W","S. cerevisiae","YCX1","Yeast CCX"
"SGD:S000002367","YDL208W","S. cerevisiae","NHP2","Non-Histone Protein"
"SGD:S000002368","YDL209C","S. cerevisiae","CWC2","Complexed With Cef1p"
"SGD:S000002369","YDL210W","S. cerevisiae","UGA4","Utilization of GAba"
"SGD:S000002372","YDL213C","S. cerevisiae","NOP6","NucleOlar Protein"
"SGD:S000002374","YDL215C","S. cerevisiae","GDH2","Glutamate DeHydrogenase"
"SGD:S000002375","YDL216C","S. cerevisiae","RRI1","Regulator of Rub1 specific Isopeptidase"
"SGD:S000002379","YDL220C","S. cerevisiae","CDC13","Cell Division Cycle"
"SGD:S000002380","YDL221W","S. cerevisiae","",""
"SGD:S000002382","YDL223C","S. cerevisiae","HBT1","HuB1 Target"
"SGD:S000002383","YDL224C","S. cerevisiae","WHI4","WHIskey"
"SGD:S000002384","YDL225W","S. cerevisiae","SHS1","Seventh Homolog of Septin"
"SGD:S000002385","YDL226C","S. cerevisiae","GCS1","Growth Cold Sensitive"
"SGD:S000002390","YDL231C","S. cerevisiae","BRE4","BREfeldin A sensitivity"
"SGD:S000002392","YDL233W","S. cerevisiae","MFG1","Morphogenetic regulator of Filamentous Growth"
