"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000001026","YHL034C","S. cerevisiae","SBP1",""
"SGD:S000001027","YHL035C","S. cerevisiae","VMR1","Vacuolar Multidrug Resistance"
"SGD:S000001028","YHL036W","S. cerevisiae","MUP3","Methionine UPtake"
"SGD:S000001030","YHL038C","S. cerevisiae","CBP2","Cytochrome B mRNA Processing"
"SGD:S000001031","YHL039W","S. cerevisiae","EFM1","Elongation Factor Methyltransferase"
"SGD:S000001034","YHL042W","S. cerevisiae","",""
"SGD:S000001035","YHL043W","S. cerevisiae","ECM34","ExtraCellular Mutant"
"SGD:S000001036","YHL044W","S. cerevisiae","DFP4","DUP240 Family Protein"
"SGD:S000001037","YHL045W","S. cerevisiae","PXP3","PeroXisomal Protein"
"SGD:S000001038","YHL046C","S. cerevisiae","PAU13","seriPAUperin"
"SGD:S000001039","YHL047C","S. cerevisiae","ARN2","AFT1 ReguloN"
"SGD:S000001040","YHL048W","S. cerevisiae","COS8","COnserved Sequence"
"SGD:S000001041","YHL049C","S. cerevisiae","",""
"SGD:S000001042","YHL050C","S. cerevisiae","",""
"SGD:S000001043","YHR001W","S. cerevisiae","OSH7","OxySterol binding protein Homolog"
"SGD:S000001044","YHR002W","S. cerevisiae","LEU5","LEUcine biosynthesis"
"SGD:S000001045","YHR003C","S. cerevisiae","TCD1","tRNA ThreonylCarbamoyladenosine Dehydratase"
"SGD:S000001046","YHR004C","S. cerevisiae","NEM1","Nuclear Envelope Morphology"
"SGD:S000001047","YHR005C","S. cerevisiae","GPA1","G Protein Alpha subunit"
"SGD:S000001049","YHR007C","S. cerevisiae","ERG11","ERGosterol biosynthesis"
"SGD:S000001050","YHR008C","S. cerevisiae","SOD2","SuperOxide Dismutase"
"SGD:S000001051","YHR009C","S. cerevisiae","TDA3","Topoisomerase I Damage Affected"
"SGD:S000001053","YHR011W","S. cerevisiae","DIA4","Digs Into Agar"
"SGD:S000001054","YHR012W","S. cerevisiae","VPS29","Vacuolar Protein Sorting"
"SGD:S000001055","YHR013C","S. cerevisiae","ARD1","ARrest Defective"
"SGD:S000001056","YHR014W","S. cerevisiae","SPO13","SPOrulation"
"SGD:S000001057","YHR015W","S. cerevisiae","MIP6","Mex67-Interacting Protein"
"SGD:S000001058","YHR016C","S. cerevisiae","YSC84",""
"SGD:S000001060","YHR018C","S. cerevisiae","ARG4","ARGinine requiring"
"SGD:S000001061","YHR019C","S. cerevisiae","DED81","Defines Essential Domain"
"SGD:S000001062","YHR020W","S. cerevisiae","",""
"SGD:S000001064","YHR022C","S. cerevisiae","",""
"SGD:S000001065","YHR023W","S. cerevisiae","MYO1","MYOsin"
"SGD:S000001066","YHR024C","S. cerevisiae","MAS2","Mitochondrial ASsembly"
"SGD:S000001067","YHR025W","S. cerevisiae","THR1","THReonine requiring"
"SGD:S000001068","YHR026W","S. cerevisiae","VMA16","Vacuolar Membrane Atpase"
"SGD:S000001069","YHR027C","S. cerevisiae","RPN1","Regulatory Particle Non-ATPase"
"SGD:S000001070","YHR028C","S. cerevisiae","DAP2","Dipeptidyl AminoPeptidase"
"SGD:S000001072","YHR030C","S. cerevisiae","SLT2","Suppressor of the LyTic phenotype"
"SGD:S000001073","YHR031C","S. cerevisiae","RRM3","rDNA Recombination Mutation"
"SGD:S000001074","YHR032W","S. cerevisiae","ERC1","Ethionine Resistance Conferring"
"SGD:S000001075","YHR033W","S. cerevisiae","",""
"SGD:S000001076","YHR034C","S. cerevisiae","PIH1","Protein Interacting with Hsp90"
"SGD:S000001077","YHR035W","S. cerevisiae","NEL1","Non-ERES Localized Sec23 homolog"
"SGD:S000001078","YHR036W","S. cerevisiae","BRL1","BRr6 Like protein"
"SGD:S000001080","YHR038W","S. cerevisiae","RRF1","Ribosome Recycling Factor"
"SGD:S000001081","YHR039C","S. cerevisiae","MSC7","Meiotic Sister-Chromatid recombination"
"SGD:S000001082","YHR040W","S. cerevisiae","BCD1","Box C/D snoRNA accumulation"
"SGD:S000001083","YHR041C","S. cerevisiae","SRB2","Suppressor of RNA polymerase B"
"SGD:S000001084","YHR042W","S. cerevisiae","NCP1","NADP-Cytochrome P450 reductase"
"SGD:S000001085","YHR043C","S. cerevisiae","DOG2","DeOxyGlucose"
"SGD:S000001086","YHR044C","S. cerevisiae","DOG1","DeOxyGlucose"
"SGD:S000001087","YHR045W","S. cerevisiae","DDE1","Dap1-related DNA damage response and Ergosterol biosynthesis protein"
"SGD:S000001088","YHR046C","S. cerevisiae","INM1","INositol Monophosphatase"
"SGD:S000001089","YHR047C","S. cerevisiae","AAP1","Arginine/alanine AminoPeptidase"
"SGD:S000001090","YHR048W","S. cerevisiae","YHK8",""
"SGD:S000001091","YHR049W","S. cerevisiae","FSH1","Family of Serine Hydrolases"
"SGD:S000001092","YHR050W","S. cerevisiae","SMF2","Suppressor of Mitochondria import Function"
"SGD:S000001093","YHR051W","S. cerevisiae","COX6","Cytochrome c OXidase"
"SGD:S000001094","YHR052W","S. cerevisiae","CIC1","Core Interacting Component"
"SGD:S000001095","YHR053C","S. cerevisiae","CUP1-1","Cu, copper, CUPrum"
"SGD:S000001098","YHR056C","S. cerevisiae","RSC30","Remodel the Structure of Chromatin"
"SGD:S000001099","YHR057C","S. cerevisiae","CPR2","Cyclosporin A-sensitive Proline Rotamase"
"SGD:S000001100","YHR058C","S. cerevisiae","MED6","MEDiator complex"
"SGD:S000001101","YHR059W","S. cerevisiae","FYV4","Function required for Yeast Viability"
"SGD:S000001102","YHR060W","S. cerevisiae","VMA22","Vacuolar Membrane Atpase"
"SGD:S000001103","YHR061C","S. cerevisiae","GIC1","GTPase Interactive Component"
"SGD:S000001104","YHR062C","S. cerevisiae","RPP1","Ribonuclease P Protein"
"SGD:S000001105","YHR063C","S. cerevisiae","PAN5","PANtothenate biosynthesis"
"SGD:S000001106","YHR064C","S. cerevisiae","SSZ1",""
"SGD:S000001107","YHR065C","S. cerevisiae","RRP3","Ribosomal RNA Processing"
"SGD:S000001108","YHR066W","S. cerevisiae","SSF1","Suppressor of ste4 (Four)"
"SGD:S000001109","YHR067W","S. cerevisiae","HTD2","Hydroxyacyl-Thioester Dehydratase"
"SGD:S000001110","YHR068W","S. cerevisiae","DYS1","DeoxyhYpusine Synthase"
"SGD:S000001111","YHR069C","S. cerevisiae","RRP4","Ribosomal RNA Processing"
"SGD:S000001112","YHR070W","S. cerevisiae","TRM5","tRNA Methyltransferase"
"SGD:S000001113","YHR071W","S. cerevisiae","PCL5","Pho85 CycLin"
"SGD:S000001114","YHR072W","S. cerevisiae","ERG7","ERGosterol biosynthesis"
"SGD:S000001115","YHR073W","S. cerevisiae","OSH3","OxySterol binding protein Homolog"
"SGD:S000001116","YHR074W","S. cerevisiae","QNS1","glutamine (Q) dependent Nad+ Synthetase"
"SGD:S000001117","YHR075C","S. cerevisiae","PPE1","Phosphoprotein Phosphatase methylEsterase"
"SGD:S000001118","YHR076W","S. cerevisiae","PTC7","Phosphatase type Two C"
"SGD:S000001119","YHR077C","S. cerevisiae","NMD2","Nonsense-mediated MRNA Decay"
"SGD:S000001120","YHR078W","S. cerevisiae","",""
"SGD:S000001121","YHR079C","S. cerevisiae","IRE1","Inositol REquiring"
"SGD:S000001122","YHR080C","S. cerevisiae","LAM4","Lipid transfer protein Anchored at Membrane contact sites"
"SGD:S000001123","YHR081W","S. cerevisiae","LRP1","Like RrP6"
"SGD:S000001124","YHR082C","S. cerevisiae","KSP1","Kinase Suppressing Prp20-10"
"SGD:S000001125","YHR083W","S. cerevisiae","SAM35","Sorting and Assembly Machinery"
"SGD:S000001126","YHR084W","S. cerevisiae","STE12","STErile"
"SGD:S000001127","YHR085W","S. cerevisiae","IPI1","Involved in Processing ITS2"
"SGD:S000001128","YHR086W","S. cerevisiae","NAM8","Nuclear Accommodation of Mitochondria"
"SGD:S000001129","YHR087W","S. cerevisiae","RTC3","Restriction of Telomere Capping"
"SGD:S000001130","YHR088W","S. cerevisiae","RPF1","Ribosome Production Factor"
"SGD:S000001131","YHR089C","S. cerevisiae","GAR1","Glycine Arginine Rich"
"SGD:S000001132","YHR090C","S. cerevisiae","YNG2","Yeast iNG1 homolog"
"SGD:S000001133","YHR091C","S. cerevisiae","MSR1","Mitochondrial tRNA Synthetase aRginine"
"SGD:S000001134","YHR092C","S. cerevisiae","HXT4","HeXose Transporter"
"SGD:S000001136","YHR094C","S. cerevisiae","HXT1","HeXose Transporter"
"SGD:S000001138","YHR096C","S. cerevisiae","HXT5","HeXose Transporter"
"SGD:S000001140","YHR098C","S. cerevisiae","SFB3","Sed Five Binding"
"SGD:S000001141","YHR099W","S. cerevisiae","TRA1","similar to human TRRAP"
"SGD:S000001142","YHR100C","S. cerevisiae","GEP4","GEnetic interactors of Prohibitins"
"SGD:S000001144","YHR102W","S. cerevisiae","KIC1","Kinase that Interacts with Cdc31p"
"SGD:S000001145","YHR103W","S. cerevisiae","SBE22","similar to SBE2"
"SGD:S000001147","YHR105W","S. cerevisiae","YPT35",""
"SGD:S000001148","YHR106W","S. cerevisiae","TRR2","ThioRedoxin Reductase"
"SGD:S000001149","YHR107C","S. cerevisiae","CDC12","Cell Division Cycle"
"SGD:S000001150","YHR108W","S. cerevisiae","GGA2","Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"
"SGD:S000001151","YHR109W","S. cerevisiae","CTM1","CyTochrome c Methyltransferase"
"SGD:S000001152","YHR110W","S. cerevisiae","ERP5","Emp24p/Erv25p Related Protein"
"SGD:S000001153","YHR111W","S. cerevisiae","UBA4","UBiquitin-Activating"
"SGD:S000001154","YHR112C","S. cerevisiae","",""
"SGD:S000001155","YHR113W","S. cerevisiae","APE4",""
"SGD:S000001156","YHR114W","S. cerevisiae","BZZ1",""
"SGD:S000001157","YHR115C","S. cerevisiae","DMA1","Defective in Mitotic Arrest"
"SGD:S000001158","YHR116W","S. cerevisiae","COX23","Cytochrome OXidase"
"SGD:S000001159","YHR117W","S. cerevisiae","TOM71","Translocase of the Outer Mitochondrial membrane"
"SGD:S000001160","YHR118C","S. cerevisiae","ORC6","Origin Recognition Complex"
"SGD:S000001161","YHR119W","S. cerevisiae","SET1","SET domain-containing"
"SGD:S000001162","YHR120W","S. cerevisiae","MSH1","MutS Homolog"
"SGD:S000001163","YHR121W","S. cerevisiae","LSM12","Like SM"
"SGD:S000001164","YHR122W","S. cerevisiae","CIA2","Cytosolic Iron-sulfur protein Assembly"
"SGD:S000001165","YHR123W","S. cerevisiae","EPT1","EthanolaminePhosphoTransferase"
"SGD:S000001169","YHR127W","S. cerevisiae","YHS7",""
"SGD:S000001170","YHR128W","S. cerevisiae","FUR1","5-FluoroURidine resistant"
"SGD:S000001171","YHR129C","S. cerevisiae","ARP1","Actin-Related Protein"
"SGD:S000001172","YHR130C","S. cerevisiae","",""
"SGD:S000001174","YHR132C","S. cerevisiae","ECM14","ExtraCellular Mutant"
"SGD:S000001175","YHR133C","S. cerevisiae","NSG1",""
"SGD:S000001176","YHR134W","S. cerevisiae","WSS1","Weak Suppressor of Smt3"
"SGD:S000001177","YHR135C","S. cerevisiae","YCK1","Yeast Casein Kinase I homolog"
"SGD:S000001178","YHR136C","S. cerevisiae","SPL2","Suppressor of PLc1 deletion"
"SGD:S000001179","YHR137W","S. cerevisiae","ARO9","AROmatic amino acid requiring"
"SGD:S000001180","YHR138C","S. cerevisiae","",""
"SGD:S000001182","YHR140W","S. cerevisiae","",""
"SGD:S000001184","YHR142W","S. cerevisiae","CHS7","CHitin Synthase-related"
"SGD:S000001185","YHR143W-A","S. cerevisiae","RPC10","RNA Polymerase C"
"SGD:S000001187","YHR144C","S. cerevisiae","DCD1","dCMP Deaminase"
"SGD:S000001188","YHR145C","S. cerevisiae","",""
"SGD:S000001190","YHR147C","S. cerevisiae","MRPL6","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000001191","YHR148W","S. cerevisiae","IMP3","Interacting with Mpp10p"
"SGD:S000001192","YHR149C","S. cerevisiae","SKG6","Suppressor of lethality of Kex2 Gas1 double null mutant"
"SGD:S000001194","YHR151C","S. cerevisiae","MTC6","Maintenance of Telomere Capping"
"SGD:S000001195","YHR152W","S. cerevisiae","SPO12","SPOrulation"
"SGD:S000001197","YHR154W","S. cerevisiae","RTT107","Regulator of Ty1 Transposition"
"SGD:S000001199","YHR156C","S. cerevisiae","LIN1","LINk"
"SGD:S000001200","YHR157W","S. cerevisiae","REC104","RECombination"
"SGD:S000001201","YHR158C","S. cerevisiae","KEL1","KELch repeat"
"SGD:S000001202","YHR159W","S. cerevisiae","TDA11","Topoisomerase I Damage Affected"
"SGD:S000001203","YHR160C","S. cerevisiae","PEX18","PEroXin"
"SGD:S000001204","YHR161C","S. cerevisiae","YAP1801","Yeast Assembly Polypeptide"
"SGD:S000001206","YHR163W","S. cerevisiae","SOL3","Suppressor Of Los1-1"
"SGD:S000001207","YHR164C","S. cerevisiae","DNA2","DNA synthesis defective"
"SGD:S000001208","YHR165C","S. cerevisiae","PRP8","Pre-mRNA Processing"
"SGD:S000001209","YHR166C","S. cerevisiae","CDC23","Cell Division Cycle"
"SGD:S000001210","YHR167W","S. cerevisiae","THP2","THO2 - HPR1 Phenotype"
"SGD:S000001211","YHR168W","S. cerevisiae","MTG2","MiTochondrial Gtpase"
"SGD:S000001212","YHR169W","S. cerevisiae","DBP8","Dead Box Protein"
"SGD:S000001213","YHR170W","S. cerevisiae","NMD3","Nonsense-Mediated mRNA Decay"
"SGD:S000001214","YHR171W","S. cerevisiae","ATG7","AuTophaGy related"
"SGD:S000001215","YHR172W","S. cerevisiae","SPC97","Spindle Pole Component"
"SGD:S000001217","YHR174W","S. cerevisiae","ENO2","ENOlase"
"SGD:S000001218","YHR175W","S. cerevisiae","CTR2","Copper TRansport"
"SGD:S000001220","YHR177W","S. cerevisiae","ROF1","Regulator Of Fluffy"
"SGD:S000001221","YHR178W","S. cerevisiae","STB5","Sin Three Binding protein"
"SGD:S000001222","YHR179W","S. cerevisiae","OYE2","Old Yellow Enzyme"
"SGD:S000001223","YHR180W","S. cerevisiae","",""
"SGD:S000001225","YHR182W","S. cerevisiae","RGD3",""
"SGD:S000001226","YHR183W","S. cerevisiae","GND1","6-phosphoGlucoNateDehydrogenase"
"SGD:S000001227","YHR184W","S. cerevisiae","SSP1",""
"SGD:S000001228","YHR185C","S. cerevisiae","PFS1","Prospore Formation at Spindles"
"SGD:S000001229","YHR186C","S. cerevisiae","KOG1","Kontroller Of Growth"
"SGD:S000001230","YHR187W","S. cerevisiae","IKI1","Insensitive to KIller toxin"
"SGD:S000001231","YHR188C","S. cerevisiae","GPI16","GlycosylPhosphatidylInositol anchor biosynthesis"
"SGD:S000001232","YHR189W","S. cerevisiae","PTH1","Peptidyl-Trna Hydrolase"
"SGD:S000001233","YHR190W","S. cerevisiae","ERG9","ERGosterol biosynthesis"
"SGD:S000001234","YHR191C","S. cerevisiae","CTF8","Chromosome Transmission Fidelity"
"SGD:S000001236","YHR193C","S. cerevisiae","EGD2","Enhancer of Gal4 DNA binding"
"SGD:S000001237","YHR194W","S. cerevisiae","MDM31","Mitochondrial Distribution and Morphology"
"SGD:S000001238","YHR195W","S. cerevisiae","NVJ1","Nucleus-Vacuole Junction"
"SGD:S000001239","YHR196W","S. cerevisiae","UTP9","U Three Protein"
"SGD:S000001240","YHR197W","S. cerevisiae","RIX1","RIbosome eXport"
"SGD:S000001241","YHR198C","S. cerevisiae","AIM18","Altered Inheritance rate of Mitochondria"
"SGD:S000001242","YHR199C","S. cerevisiae","AIM46","Altered Inheritance rate of Mitochondria"
"SGD:S000001243","YHR200W","S. cerevisiae","RPN10","Regulatory Particle Non-ATPase"
"SGD:S000001244","YHR201C","S. cerevisiae","PPX1",""
"SGD:S000001247","YHR204W","S. cerevisiae","MNL1","MaNnosidase-Like protein"
"SGD:S000001249","YHR206W","S. cerevisiae","SKN7","Suppressor of Kre Null"
"SGD:S000001250","YHR207C","S. cerevisiae","SET5","SET domain-containing"
"SGD:S000001251","YHR208W","S. cerevisiae","BAT1","Branched-chain Amino acid Transaminase"
"SGD:S000001252","YHR209W","S. cerevisiae","CRG1","Cantharidin Resistance Gene"
"SGD:S000001254","YHR211W","S. cerevisiae","FLO5","FLOcculation"
"SGD:S000001258","YHR215W","S. cerevisiae","PHO12","PHOsphate metabolism"
"SGD:S000001259","YHR216W","S. cerevisiae","IMD2","IMP Dehydrogenase"
"SGD:S000001263","YIL001W","S. cerevisiae","",""
"SGD:S000001264","YIL002C","S. cerevisiae","INP51","INositol polyphosphate 5-Phosphatase"
"SGD:S000001266","YIL004C","S. cerevisiae","BET1","Blocked Early in Transport"
"SGD:S000001267","YIL005W","S. cerevisiae","EPS1","ER-retained Pma1 Suppressing"
"SGD:S000001268","YIL006W","S. cerevisiae","YIA6",""
"SGD:S000001269","YIL007C","S. cerevisiae","NAS2","Non-ATPase Subunit"
"SGD:S000001270","YIL008W","S. cerevisiae","URM1","Ubiquitin Related Modifier"
"SGD:S000001271","YIL009W","S. cerevisiae","FAA3","Fatty Acid Activation"
"SGD:S000001272","YIL010W","S. cerevisiae","DOT5","Disruptor Of Telomeric silencing"
"SGD:S000001273","YIL011W","S. cerevisiae","TIR3","TIp1-Related"
"SGD:S000001275","YIL013C","S. cerevisiae","PDR11","Pleiotropic Drug Resistance"
"SGD:S000001276","YIL014W","S. cerevisiae","MNT3","MaNnosylTransferase"
"SGD:S000001278","YIL016W","S. cerevisiae","SNL1","Suppressor of Nup116-C Lethal"
"SGD:S000001279","YIL017C","S. cerevisiae","VID28","Vacuolar Import and Degradation"
"SGD:S000001280","YIL018W","S. cerevisiae","RPL2B","Ribosomal Protein of the Large subunit"
"SGD:S000001281","YIL019W","S. cerevisiae","FAF1","Forty (40) S Assembly Factor "
"SGD:S000001282","YIL020C","S. cerevisiae","HIS6","HIStidine requiring"
"SGD:S000001283","YIL021W","S. cerevisiae","RPB3","RNA Polymerase B"
"SGD:S000001284","YIL022W","S. cerevisiae","TIM44","Translocase of the Inner Mitochondrial membrane"
"SGD:S000001285","YIL023C","S. cerevisiae","YKE4","Yeast ortholog of mouse KE4"
"SGD:S000001286","YIL024C","S. cerevisiae","ATG45","AuTophaGy related"
"SGD:S000001287","YIL025C","S. cerevisiae","",""
"SGD:S000001288","YIL026C","S. cerevisiae","IRR1","IRRegular cell behavior"
"SGD:S000001289","YIL027C","S. cerevisiae","EMC5","ER Membrane protein Complex"
"SGD:S000001290","YIL028W","S. cerevisiae","",""
"SGD:S000001291","YIL029C","S. cerevisiae","EMA17","Efficient Mitochondria targeting-Associated protein"
"SGD:S000001292","YIL030C","S. cerevisiae","SSM4","Suppressor of mrna Stability Mutant"
"SGD:S000001293","YIL031W","S. cerevisiae","ULP2","UbL-specific Protease"
"SGD:S000001294","YIL032C","S. cerevisiae","",""
"SGD:S000001295","YIL033C","S. cerevisiae","BCY1","Bypass of CYclic-AMP requirement"
"SGD:S000001296","YIL034C","S. cerevisiae","CAP2","CAPping"
"SGD:S000001297","YIL035C","S. cerevisiae","CKA1","Casein Kinase Alpha subunit"
"SGD:S000001299","YIL037C","S. cerevisiae","PRM2","Pheromone-Regulated Membrane protein"
"SGD:S000001300","YIL038C","S. cerevisiae","NOT3","Negative On TATA"
"SGD:S000001301","YIL039W","S. cerevisiae","TED1","Trafficking of Emp24p/Erv25p-dependent cargo Disrupted"
"SGD:S000001302","YIL040W","S. cerevisiae","APQ12","APical growth revealed by Quantitative morphological analysis"
"SGD:S000001304","YIL042C","S. cerevisiae","PKP1","Protein Kinase of PDH"
"SGD:S000001306","YIL044C","S. cerevisiae","AGE2","ArfGAP Effector"
"SGD:S000001307","YIL045W","S. cerevisiae","PIG2","Protein Interacting with Gsy2p"
"SGD:S000001308","YIL046W","S. cerevisiae","MET30","METhionine requiring"
"SGD:S000001309","YIL047C","S. cerevisiae","SYG1","Suppressor of Yeast Gpa1"
"SGD:S000001310","YIL048W","S. cerevisiae","NEO1","NEOmycin-resistance"
"SGD:S000001311","YIL049W","S. cerevisiae","DFG10","Defective for Filamentous Growth"
"SGD:S000001312","YIL050W","S. cerevisiae","PCL7","Pho85 CycLin"
"SGD:S000001313","YIL051C","S. cerevisiae","MMF1","Mitochondrial Matrix Factor"
"SGD:S000001314","YIL052C","S. cerevisiae","RPL34B","Ribosomal Protein of the Large subunit"
"SGD:S000001315","YIL053W","S. cerevisiae","GPP1","Glycerol-3-Phosphate Phosphatase"
"SGD:S000001316","YIL054W","S. cerevisiae","",""
"SGD:S000001317","YIL055C","S. cerevisiae","",""
"SGD:S000001318","YIL056W","S. cerevisiae","VHR1","VHt1 Regulator"
"SGD:S000001319","YIL057C","S. cerevisiae","RGI2","Respiratory growth induced"
"SGD:S000001321","YIL059C","S. cerevisiae","",""
"SGD:S000001322","YIL060W","S. cerevisiae","",""
"SGD:S000001323","YIL061C","S. cerevisiae","SNP1",""
"SGD:S000001324","YIL062C","S. cerevisiae","ARC15","ARp2/3 Complex subunit"
"SGD:S000001325","YIL063C","S. cerevisiae","YRB2","Yeast Ran Binder"
"SGD:S000001326","YIL064W","S. cerevisiae","EFM4","Elongation Factor Methyltransferase"
"SGD:S000001327","YIL065C","S. cerevisiae","FIS1","mitochondrial FISsion"
"SGD:S000001328","YIL066C","S. cerevisiae","RNR3","RiboNucleotide Reductase"
"SGD:S000001330","YIL068C","S. cerevisiae","SEC6","SECretory"
"SGD:S000001332","YIL070C","S. cerevisiae","MAM33","Mitochondrial Acidic Matrix protein"
"SGD:S000001333","YIL071C","S. cerevisiae","PCI8","Proteasome-COP9 signalosome (CSN)-eIF3"
"SGD:S000001334","YIL072W","S. cerevisiae","HOP1","HOmolog Pairing"
"SGD:S000001336","YIL074C","S. cerevisiae","SER33","SERine requiring"
"SGD:S000001337","YIL075C","S. cerevisiae","RPN2","Regulatory Particle Non-ATPase"
"SGD:S000001338","YIL076W","S. cerevisiae","SEC28","SECretory"
"SGD:S000001339","YIL077C","S. cerevisiae","RCI37","Respiratory Chain Interacting protein of ~37 kDa"
"SGD:S000001340","YIL078W","S. cerevisiae","THS1","THreonyl tRNA Synthetase"
"SGD:S000001341","YIL079C","S. cerevisiae","AIR1","Arginine methyltransferase-Interacting RING finger protein"
"SGD:S000001344","YIL082W","S. cerevisiae","",""
"SGD:S000001346","YIL084C","S. cerevisiae","SDS3","Suppressor of Defective Silencing"
"SGD:S000001347","YIL085C","S. cerevisiae","KTR7","Kre Two Related"
"SGD:S000001348","YIL086C","S. cerevisiae","",""
"SGD:S000001350","YIL088C","S. cerevisiae","AVT7","Amino acid Vacuolar Transport"
"SGD:S000001353","YIL091C","S. cerevisiae","UTP25","U Three Protein"
"SGD:S000001354","YIL092W","S. cerevisiae","",""
"SGD:S000001355","YIL093C","S. cerevisiae","RSM25","Ribosomal Small subunit of Mitochondria"
"SGD:S000001356","YIL094C","S. cerevisiae","LYS12","LYSine requiring"
"SGD:S000001357","YIL095W","S. cerevisiae","PRK1","p53 Regulatory Kinase"
"SGD:S000001358","YIL096C","S. cerevisiae","BMT5","Base Methyltransferase of Twenty five S rRNA"
"SGD:S000001359","YIL097W","S. cerevisiae","FYV10","Function required for Yeast Viability"
"SGD:S000001360","YIL098C","S. cerevisiae","FMC1","Formation of Mitochondrial Complexes"
"SGD:S000001363","YIL101C","S. cerevisiae","XBP1","XhoI site-Binding Protein"
"SGD:S000001365","YIL103W","S. cerevisiae","DPH1","DiPHthamide biosynthesis"
"SGD:S000001366","YIL104C","S. cerevisiae","SHQ1","Small nucleolar RNAs of the box H/ACA family Quantitative accumulation"
"SGD:S000001367","YIL105C","S. cerevisiae","SLM1","Synthetic Lethal with Mss4"
"SGD:S000001368","YIL106W","S. cerevisiae","MOB1","Mps One Binder"
"SGD:S000001370","YIL108W","S. cerevisiae","",""
"SGD:S000001371","YIL109C","S. cerevisiae","SEC24","SECretory"
"SGD:S000001372","YIL110W","S. cerevisiae","HPM1","Histidine Protein Methyltransferase"
"SGD:S000001373","YIL111W","S. cerevisiae","COX5B","Cytochrome c OXidase"
"SGD:S000001374","YIL112W","S. cerevisiae","HOS4","Hda One Similar"
"SGD:S000001375","YIL113W","S. cerevisiae","SDP1","Stress-inducible Dual specificity Phosphatase"
"SGD:S000001376","YIL114C","S. cerevisiae","POR2","PORin"
"SGD:S000001377","YIL115C","S. cerevisiae","NUP159","NUclear Pore"
"SGD:S000001379","YIL117C","S. cerevisiae","PRM5","Pheromone-Regulated Membrane protein"
"SGD:S000001380","YIL118W","S. cerevisiae","RHO3","Ras HOmolog"
"SGD:S000001381","YIL119C","S. cerevisiae","RPI1","Ras-cAMP Pathway Inhibitor"
"SGD:S000001382","YIL120W","S. cerevisiae","QDR1","QuiniDine Resistance"
"SGD:S000001383","YIL121W","S. cerevisiae","QDR2","QuiniDine Resistance"
"SGD:S000001384","YIL122W","S. cerevisiae","POG1","Promoter Of Growth"
"SGD:S000001386","YIL124W","S. cerevisiae","AYR1","1-AcyldihYdroxyacetone-phosphate Reductase"
"SGD:S000001387","YIL125W","S. cerevisiae","KGD1","alpha-KetoGlutarate Dehydrogenase"
"SGD:S000001388","YIL126W","S. cerevisiae","STH1","SNF Two Homolog"
"SGD:S000001390","YIL128W","S. cerevisiae","MET18","METhionine requiring"
"SGD:S000001391","YIL129C","S. cerevisiae","TAO3","Transcriptional Activator of OCH1"
"SGD:S000001392","YIL130W","S. cerevisiae","ASG1","Activator of Stress Genes"
"SGD:S000001393","YIL131C","S. cerevisiae","FKH1","ForK head Homolog"
"SGD:S000001394","YIL132C","S. cerevisiae","CSM2","Chromosome Segregation in Meiosis"
"SGD:S000001396","YIL134W","S. cerevisiae","FLX1","FLavin eXchange"
"SGD:S000001397","YIL135C","S. cerevisiae","VHS2","Viable in a Hal3 Sit4 background"
"SGD:S000001398","YIL136W","S. cerevisiae","OM45","Outer Membrane"
"SGD:S000001399","YIL137C","S. cerevisiae","TMA108","Translation Machinery Associated"
"SGD:S000001400","YIL138C","S. cerevisiae","TPM2","TroPoMyosin"
"SGD:S000001401","YIL139C","S. cerevisiae","REV7","REVersionless"
"SGD:S000001402","YIL140W","S. cerevisiae","AXL2","AXiaL 2 bud site selection"
"SGD:S000001403","YIL141W","S. cerevisiae","",""
"SGD:S000001404","YIL142W","S. cerevisiae","CCT2","Chaperonin Containing TCP-1"
"SGD:S000001405","YIL143C","S. cerevisiae","SSL2","Suppressor of Stem-Loop mutation"
"SGD:S000001406","YIL144W","S. cerevisiae","NDC80","Nuclear Division Cycle"
"SGD:S000001407","YIL145C","S. cerevisiae","PAN6","PANtothenate biosynthesis"
"SGD:S000001409","YIL147C","S. cerevisiae","SLN1","Synthetic Lethal of N-end rule"
"SGD:S000001410","YIL148W","S. cerevisiae","RPL40A","Ribosomal Protein of the Large subunit"
"SGD:S000001411","YIL149C","S. cerevisiae","MLP2","Myosin-Like Protein"
"SGD:S000001412","YIL150C","S. cerevisiae","MCM10","MiniChromosome Maintenance"
"SGD:S000001413","YIL151C","S. cerevisiae","ESL1","EST/SMG-like"
"SGD:S000001414","YIL152W","S. cerevisiae","VPR1","Viable Products in spp1∆ meiosis Reduced"
"SGD:S000001415","YIL153W","S. cerevisiae","RRD1","Resistant to Rapamycin Deletion"
"SGD:S000001416","YIL154C","S. cerevisiae","IMP21","Independent of Mitochondrial Particle"
"SGD:S000001418","YIL156W","S. cerevisiae","UBP7","UBiquitin-specific Protease"
"SGD:S000001419","YIL157C","S. cerevisiae","COA1","Cytochrome Oxidase Assembly"
"SGD:S000001420","YIL158W","S. cerevisiae","AIM20","Altered Inheritance rate of Mitochondria"
"SGD:S000001421","YIL159W","S. cerevisiae","BNR1","BNi1 Related"
